"gender","age","major","attendance_pct","study_hours_per_day","previous_gpa","sleep_hours","social_hours_week","final_cgpa"
"Male",20,"Engineering",83.9,4.4,2.65,9.1,8,2.78
"Female",24,"Business",80.7,4,3.58,4,4,3.76
"Female",20,"Mathematics",91.5,3.9,3.29,6.7,4,3.75
"Female",23,"Engineering",73.9,8.8,3.48,4,6,3.69
"Male",21,"Economics",79.8,2.2,2.66,8.7,6,2.34
"Male",20,"Business",86.8,3.5,2.16,7,7,2.41
"Male",22,"Mathematics",77.5,3.6,2.66,8.7,5,2.69
"Female",20,"Psychology",95,4.7,3.44,7.4,4,3.76
"Female",22,"Computer Science",100,4.3,4,5,12,4
"Female",24,"Economics",73.7,4.1,2.89,5.5,3,3.01
"Male",20,"Business",60,2.2,4,6.8,14,4
"Female",22,"Computer Science",55,4.3,3.51,7.9,4,3.38
"Female",20,"Psychology",82.7,6,2.4,7.1,9,2.75
"Male",24,"Engineering",75.1,4.8,3.21,7.3,6,3.2
"Male",20,"Engineering",88.1,2.1,3.53,6.5,10,3.71
"Male",19,"Mathematics",87,4.5,1.89,8.7,11,2.03
"Male",22,"Business",61,4.3,3.42,7.2,8,3.36
"Male",24,"Business",57.8,3.4,3.69,7.1,14,3.31
"Male",22,"Mathematics",89.4,4.8,3.3,7.4,8,3.75
"Male",22,"Computer Science",87,2.9,3.07,6.4,11,3.41
"Female",18,"Engineering",78.6,6.2,3.01,6.5,7,3.11
"Male",24,"Engineering",60.1,11,2.98,7.7,7,3.26
"Male",20,"Business",92.1,6.5,2.51,8.2,8,2.93
"Male",22,"Business",100,2.6,2.76,8.3,6,2.79
"Male",23,"Mathematics",89.2,6,2.89,6.7,4,3.2
"Female",18,"Psychology",72.3,6.8,3.16,7.2,12,3.3
"Male",19,"Computer Science",85.7,5.2,2.82,6.1,9,3.26
"Male",22,"Economics",64.5,5.6,2.67,8.2,5,2.79
"Female",22,"Psychology",100,4,3.48,5.6,9,3.8
"Male",18,"Psychology",86.2,1.9,3.29,7.3,7,3.49
"Female",20,"Business",58.5,3.9,2.83,8.3,6,2.54
"Male",23,"Business",80.5,2.3,3.35,7.2,7,3.5
"Male",19,"Business",91.9,3.7,2.87,7.5,8,3.2
"Female",22,"Psychology",80,3,3.13,6.6,10,3.48
"Female",20,"Computer Science",80.9,2.2,3.59,4.2,10,3.85
"Female",24,"Business",66.6,8.6,2.8,6,7,2.91
"Male",23,"Engineering",93.5,4.2,2.51,7.1,7,2.71
"Male",24,"Computer Science",75.3,3.1,3.03,6,4,2.86
"Female",23,"Engineering",52.7,1.4,2.42,7.7,7,2.06
"Male",19,"Computer Science",79.4,6.6,2.96,4.8,4,3.07
"Male",21,"Business",99.7,4.8,2.96,4.1,10,3.05
"Male",23,"Economics",79.2,11.9,1.87,8,9,2.38
"Male",21,"Mathematics",100,2.7,3.37,6.5,7,3.76
"Female",24,"Business",91.4,8.2,3.01,7.5,10,3.42
"Male",23,"Psychology",90.1,3.9,3.69,6.2,4,3.97
"Female",19,"Economics",83.1,2.4,3.21,7.8,8,3.62
"Male",18,"Psychology",84,3.3,3.47,9,8,3.76
"Male",19,"Computer Science",81,4.5,3.7,9.1,5,3.9
"Male",19,"Psychology",80.5,3.1,3.03,6,7,3.43
"Male",18,"Economics",93,2,3.1,6.4,9,3.5
"Female",18,"Economics",71,2.4,2.31,7.3,6,2.2
"Female",20,"Business",68.9,5.7,3.72,9.8,12,3.83
"Female",23,"Engineering",68.2,2.2,3.03,5.3,10,2.73
